grp	grpseq	startCodePoint	codePoint	endCodePoint	codePointCount	graph
1	1	1024	1024	1028	869	[Ѐ]
1	2	1024	1025	1028	869	[Ё]
1	3	1024	1026	1028	869	[Ђ]
1	4	1024	1027	1028	869	[Ѓ]
1	5	1024	1028	1028	869	[Є]
2	1	127232	127232	127242	55147	[ ]
2	2	127232	127233	127242	55147	[¡]
2	3	127232	127234	127242	55147	[¢]
2	4	127232	127235	127242	55147	[£]
2	5	127232	127236	127242	55147	[¤]
2	6	127232	127237	127242	55147	[¥]
2	7	127232	127238	127242	55147	[¦]
2	8	127232	127239	127242	55147	[§]
2	9	127232	127240	127242	55147	[¨]
2	10	127232	127241	127242	55147	[©]
2	11	127232	127242	127242	55147	[ª]
